artist;song;popularity
Camille Jones;The Creeps - Fedde Le Grand Radio Mix;17
Linkin Park;What I've Done;77
Keyshia Cole;Last Night;60
Chris Brown;Kiss Kiss (feat. T-Pain);68
Shop Boyz;Party Like A Rock Star;61
Finger Eleven;Paralyzer;73
Justin Timberlake;Summer Love;66
MiMS;This Is Why I'm Hot;59
Fabolous;Make Me Better;62
Seether;Fake It;73
Take That;Patience;64
Arctic Monkeys;Brianstorm;67
Justin Timberlake;My Love (feat. T.I.);72
Fergie;Glamorous;64
Linkin Park;Bleed It Out;73
My Chemical Romance;Teenagers;80
Calvin Harris;Acceptable in the 80's;57
Sugababes;About You Now;66
Avril Lavigne;Girlfriend;75
Ne-Yo;Because Of You;74
Daughtry;It's Not Over;45
Unk;Walk It Out;48
Lloyd;You;70
Klaxons;Golden Skans;65
T-Pain;Bartender (feat. Akon);3
Baby Boy Da Prince;The Way I Live - Main Explicit;59
Fergie;Fergalicious;63
Omarion;Ice Box;57
Pretty Ricky;On the Hotline - Amended Version;57
Nickelback;Rockstar;69
Fall Out Boy;Thnks fr th Mmrs;76
Justin Timberlake;LoveStoned / I Think She Knows (Interlude);57
All Time Low;Dear Maria, Count Me In;76
Amy Winehouse;Back To Black;76
Keyshia Cole;Let It Go;58
Ciara;Promise;56
Enrique Iglesias;Do You Know? (The Ping Pong Song);45
T2;Heartbroken - Edit;59
Robyn;With Every Heartbeat;36
Maroon 5;Makes Me Wonder;62
Fall Out Boy;This Ain't A Scene, It's An Arms Race;68
Paramore;Misery Business;72
Hinder;Better Than Me;30
Huey;Pop, Lock & Drop It - Video Edit;52
Foo Fighters;The Pretender;78
Plies;Shawty (feat. T Pain);61
Kaiser Chiefs;Ruby;67
Mark Ronson;Stop Me (feat. Daniel Merriweather);46
Bow Wow;Outta My System (feat. T-Pain & Johntá Austin);57
Jim Jones;We Fly High;0
The Red Jumpsuit Apparatus;Face Down;74
MIKA;Grace Kelly;69
Christina Aguilera;Candyman;66
Sean Kingston;Beautiful Girls;78
Akon;Don't Matter;52
James Blunt;1973;68
Carrie Underwood;Before He Cheats;76
Just Jack;Starz In Their Eyes;52
T-Pain;Buy U a Drank (Shawty Snappin') (feat. Yung Joc);2
Bone Thugs-N-Harmony;I Tried;61
Avril Lavigne;When You're Gone;68
Rich Boy;Throw Some D's;57
MIKA;Love Today;57
Manic Street Preachers;Your Love Alone Is Not Enough (feat. Nina Persson);53
Elliott Yamin;Wait for You;58
Wyclef Jean;Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia);56
Boys Like Girls;The Great Escape;62
Take That;Rule The World - Radio Edit;58
J. Holiday;Bed;64
Red Hot Chili Peppers;Snow (Hey Oh);79
Ludacris;Runaway Love;51
Flo Rida;Low (feat. T-Pain);80
Katy Perry;I Kissed A Girl;73
Rihanna;Take A Bow;74
Alicia Keys;No One;77
Timbaland;Apologize;74
Ne-Yo;Miss Independent;71
Chris Brown;With You;70
Beyoncé;If I Were a Boy;66
Kardinal Offishall;Dangerous;75
Madcon;Beggin (original version);70
September;Cry for You;65
Rihanna;Disturbia;76
Guru Josh Project;Infinity 2008;1
Britney Spears;Break the Ice;61
Lil Wayne;Lollipop;69
Basshunter;Now You're Gone - Video Edit;63
Kanye West;Flashing Lights;52
Madonna;4 Minutes (feat. Justin Timberlake & Timbaland);71
Katy Perry;Hot N Cold;73
Rihanna;Don't Stop The Music;77
Snoop Dogg;Sensual Seduction;56
Akon;Right Now (Na Na Na);69
Britney Spears;Womanizer;76
Eric Prydz;Pjanoo - Radio Edit;65
Kelly Rowland;Work;34
Jeezy;Put On;69
Madonna;Give It 2 Me;57
The Pussycat Dolls;When I Grow Up;72
will.i.am;Heartbreaker;46
Soulja Boy;Crank That (Soulja Boy);74
Britney Spears;Piece of Me;64
T.I.;Live Your Life;75
Ne-Yo;Closer;65
Lil Wayne;A Milli;69
Colby O'Donis;What You Got;61
Miley Cyrus;See You Again;0
Basshunter;All I Ever Wanted - Radio Edit;65
Chris Brown;Kiss Kiss (feat. T-Pain);68
Finger Eleven;Paralyzer;73
Alesha Dixon;The Boy Does Nothing;51
Dizzee Rascal;Dance Wiv Me - Radio Edit;68
Gabriella Cilmi;Sweet About Me;56
Jack White;Another Way to Die;56
Plies;Hypnotized (feat. Akon);66
The Pussycat Dolls;I Hate This Part;64
Sean Kingston;Take You There;65
Natasha Bedingfield;Pocketful of Sunshine;62
The Offspring;You're Gonna Go Far, Kid;78
Kanye West;Homecoming;47
Estelle;American Boy;78
Saving Abel;Addicted;69
Pendulum;Propane Nightmares;57
The Game;My Life;60
Danity Kane;Damaged;57
P!nk;So What;76
Kanye West;Love Lockdown;66
Gym Class Heroes;Cookie Jar (feat. The-Dream);54
M.I.A.;Paper Planes;1
3 Doors Down;It's Not My Time;56
Kylie Minogue;Wow;47
Mariah Carey;Touch My Body;0
MGMT;Kids;77
The Ting Tings;Shut Up and Let Me Go;55
Lil Wayne;Got Money;58
Santana;Into the Night (feat. Chad Kroeger);57
The-Dream;I Luv Your Girl;62
Wiley;Wearing My Rolex - Radio Edit;59
Usher;Love in This Club (feat. Young Jeezy);71
Sam Sparro;Black & Gold - Radio Edit;53
"H ""two"" O";What's It Gonna Be (feat. Platnum);55
The Ting Tings;That's Not My Name;51
Plies;Bust It Baby, Pt. 2 (feat. Ne-Yo);61
James Morrison;Broken Strings;70
Leona Lewis;Run;62
Metro Station;Shake It;67
T.I.;Whatever You Like;74
Trey Songz;Can't Help but Wait;62
OneRepublic;Stop And Stare;59
Alexandra Burke;Hallelujah;63
Mary J. Blige;Just Fine;64
Jordin Sparks;One Step At a Time;56
Coldplay;Viva La Vida;80
Kings of Leon;Sex on Fire;80
Kanye West;Good Life;45
Duffy;Mercy;69
David Archuleta;Crush;67
J. Holiday;Suffocate - Superclean;58
Gavin DeGraw;In Love With a Girl;51
Jordin Sparks;Tattoo;54
Coldplay;Violet Hill;63
Ray J;Sexy Can I feat. Yung Berg;1
Jennifer Hudson;Spotlight;60
John Legend;Green Light (feat. André 3000);55
Jonas Brothers;Burnin' Up;68
Lupe Fiasco;Superstar (feat. Matthew Santos);64
Chris Brown;Forever;74
Adele;Chasing Pavements;1
Leona Lewis;Better in Time;67
Fergie;Clumsy;58
T-Pain;Can't Believe It (feat. Lil' Wayne);0
Black Eyed Peas;I Gotta Feeling;80
Lady Gaga;Poker Face;77
Beyoncé;Halo;74
David Guetta;Sexy Bitch (feat. Akon);75
Flo Rida;Right Round;74
Taylor Swift;Love Story;74
Pitbull;Hotel Room Service;63
Britney Spears;Circus;74
Lady Gaga;LoveGame;69
Skillet;Monster;75
The Prodigy;Omen;57
Black Eyed Peas;Meet Me Halfway;72
Kanye West;Heartless;82
Kid Cudi;Day 'N' Nite (Nightmare);72
Lady Gaga;Just Dance;76
Britney Spears;If U Seek Amy;69
Pitbull;I Know You Want Me (Calle Ocho);59
Mariah Carey;Obsessed;66
Beyoncé;Sweet Dreams;48
Agnes;Release Me;65
Black Eyed Peas;Boom Boom Pow;68
Shakira;She Wolf;68
Lady Gaga;Paparazzi;70
JAY-Z;Empire State Of Mind;82
OneRepublic;All The Right Moves;65
Jeremih;Birthday Sex;67
Cascada;Evacuate The Dancefloor;63
Linkin Park;New Divide;68
Kevin Rudolf;Let It Rock;66
JAY-Z;Run This Town;75
Lady Gaga;Bad Romance;80
T.I.;Live Your Life;75
Eminem;We Made You;63
Dizzee Rascal;Bonkers;38
Ciara;Love Sex Magic (feat. Justin Timberlake);58
Rihanna;Russian Roulette;64
Soulja Boy;Turn My Swag On;59
The xx;Intro;2
Jay Sean;Down;3
Keri Hilson;Turnin Me On - Original Dirty;41
David Guetta;When Love Takes Over (feat. Kelly Rowland);69
Cheryl;Fight For This Love;65
Soulja Boy;Kiss Me Thru The Phone;76
Eminem;Crack A Bottle;70
P!nk;Sober;46
Tinchy Stryder;Number 1;59
Pixie Lott;Mama Do (Uh Oh, Uh Oh);54
JLS;Beat Again - Radio Edit;0
3OH!3;DONTTRUSTME;70
A.R. Rahman;Jai Ho! (You Are My Destiny);65
The Pussycat Dolls;I Hate This Part;64
Akon;Beautiful;65
Alexandra Burke;Bad Boys (feat. Flo Rida);57
Mario;Break Up;51
Drake;Forever;73
Selena Gomez & The Scene;Naturally;63
Kanye West;Love Lockdown;66
The Veronicas;Untouched;58
Fabolous;Throw It In The Bag;59
Jason Derulo;Whatcha Say;70
Lily Allen;Not Fair;54
T.I.;Dead And Gone;68
Sean Kingston;Fire Burning;71
Empire of the Sun;Walking On A Dream;77
Cobra Starship;Good Girls Go Bad (feat. Leighton Meester);65
Nickelback;If Today Was Your Last Day;66
La Roux;Bulletproof;71
Kasabian;Fire;64
Calvin Harris;I'm Not Alone - Radio Edit;55
Justin Bieber;One Time;71
Jamie Foxx;Blame It;65
La Roux;In For The Kill;59
Muse;Uprising;75
Nickelback;Gotta Be Somebody;62
James Morrison;Broken Strings;70
T.I.;Whatever You Like;74
Dizzee Rascal;Holiday;60
Beyoncé;Single Ladies (Put a Ring on It);67
Boys Like Girls;Love Drunk;64
The-Dream;Rockin' That Shit;62
OneRepublic;Secrets;74
JLS;Everybody in Love;39
Jason Aldean;Big Green Tractor;50
The Fray;Never Say Never;67
Lily Allen;The Fear;53
Kings of Leon;Sex on Fire;80
Drake;Best I Ever Had;54
Kelly Clarkson;Already Gone;56
Miley Cyrus;Party In The U.S.A.;79
Jordin Sparks;Battlefield;57
Ne-Yo;Mad;64
Green Day;21 Guns;73
Keri Hilson;Knock You Down;57
Taylor Swift;You Belong With Me;55
Shinedown;Second Chance;67
Asher Roth;I Love College;62
Katy Perry;Waking Up In Vegas;49
Kelly Clarkson;My Life Would Suck Without You;68
Mumford & Sons;Little Lion Man;68
The Fray;You Found Me;73
Bruno Mars;Just the Way You Are;77
Eminem;Love The Way You Lie;81
Lady Gaga;Bad Romance;80
Stromae;Alors on danse - Radio Edit;77
Kesha;TiK ToK;80
David Guetta;Memories (feat. Kid Cudi);76
Taio Cruz;Dynamite;80
Rihanna;Only Girl (In The World);73
Katy Perry;California Gurls;72
Kesha;Take It Off;68
INNA;Hot - Play & Win Radio Version;42
Far East Movement;Like A G6;73
David Guetta;Gettin' Over You (feat. Fergie & LMFAO);62
Duck Sauce;Barbra Streisand - Radio Edit;46
Lucenzo;Danza Kuduro (feat. Don Omar);0
Rihanna;Te Amo;67
Timbaland;Carry Out (Featuring Justin Timberlake);69
DJ Fresh;Gold Dust - Radio Edit;63
Edward Maya;Stereo Love - Radio Edit;66
Taio Cruz;Break Your Heart;74
Black Eyed Peas;Imma Be;61
Sidney Samson;Riverside;47
Eminem;Not Afraid;79
Lady Gaga;Alejandro;67
Rihanna;Rude Boy;74
Ne-Yo;Beautiful Monster;57
3OH!3;Starstrukk;32
Black Eyed Peas;The Time (Dirty Bit);69
Kelly Rowland;Commander;59
Swedish House Mafia;One (Your Name) - Radio Edit;63
Chris Brown;Deuces (feat. Tyga & Kevin McCall);68
Usher;DJ Got Us Fallin' In Love (feat. Pitbull);79
Iyaz;Replay;75
Flo Rida;Club Can't Handle Me (feat. David Guetta);76
Sean Kingston;Eenie Meenie;74
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);58
Tinie Tempah;Written in the Stars (feat. Eric Turner);57
Bruno Mars;Talking to the Moon;76
Miley Cyrus;Can't Be Tamed;0
Mike Posner;Cooler Than Me - Single Mix;75
Lady Gaga;Telephone;69
Yolanda Be Cool;We No Speak Americano (JT Radio Edit);1
Rihanna;Hard;55
Tinie Tempah;Pass Out;53
Adam Lambert;Whataya Want from Me;57
Trey Songz;Bottoms Up (feat. Nicki Minaj);0
Timbaland;If We Ever Meet Again (Featuring Katy Perry);68
Enrique Iglesias;I Like It;63
Tim Berg;Seek Bromance - Avicii’s Vocal Edit;0
Usher;OMG (feat. will.i.am);73
Maroon 5;Misery;67
Jay Sean;Down;3
Rihanna;Man Down;68
3OH!3;My First Kiss (feat. Ke$ha);62
Justin Bieber;Baby;81
Cali Swag District;Teach Me How to Dougie;66
Swedish House Mafia;Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah;54
K'NAAN;Wavin' Flag;57
Ludacris;How Low;63
Kesha;Blah Blah Blah (feat. 3OH!3);61
DJ Khaled;All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross);51
Jason Derulo;In My Head;65
Aloe Blacc;I Need A Dollar;1
B.o.B;Airplanes (feat. Hayley Williams of Paramore);74
Ludacris;My Chick Bad;68
Nelly;Just A Dream;73
Rihanna;What's My Name?;66
Shontelle;Impossible;35
Take That;The Flood;57
Trey Songz;Say Aah (feat. Fabolous);54
Jason Derulo;Whatcha Say;70
Drake;Over;57
Example;Kickstarts;63
Plan B;She Said;62
The Saturdays;Higher;61
Jay Sean;Do You Remember;2
Usher;Hey Daddy (Daddy's Home);60
Lil Wayne;Right Above It;68
The Wanted;All Time Low;18
Kesha;Your Love Is My Drug;69
Ellie Goulding;Starry Eyed;54
Drake;Find Your Love;56
Jason Derulo;Ridin' Solo;66
Two Door Cinema Club;What You Know;0
JAY-Z;Young Forever;65
Young Money;BedRock;71
B.o.B;Nothin' on You (feat. Bruno Mars);74
Katy Perry;Teenage Dream;69
Scouting For Girls;This Ain't a Love Song;52
Travie McCoy;Billionaire (feat. Bruno Mars);72
Owl City;Fireflies;78
Alicia Keys;Empire State of Mind (Part II) Broken Down;71
Lady A;Need You Now;73
Taylor Swift;Back To December;65
Neon Trees;Animal;64
Kris Allen;Live Like We're Dying;51
Matt Cardle;When We Collide;46
Robyn;Dancing On My Own;0
The Band Perry;If I Die Young;64
B.o.B;Magic (feat. Rivers Cuomo);65
Adele;Rolling in the Deep;2
Maroon 5;"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";77
LMFAO;Party Rock Anthem;73
Katy Perry;Firework;72
Bruno Mars;Grenade;78
Pitbull;Hey Baby (Drop It to the Floor) (feat. T-Pain);71
Alexandra Stan;Mr. Saxobeat;0
David Guetta;Who's That Chick? (feat. Rihanna);71
Jennifer Lopez;On The Floor;79
Rihanna;S&M;73
Kesha;Blow;69
Snoop Dogg;Sweat - Remix;68
Taio Cruz;Higher;61
Usher;More - RedOne Jimmy Joker Remix;67
Example;Changed the Way You Kiss Me - Radio Edit;42
Black Eyed Peas;Just Can’t Get Enough;76
David Guetta;Where Them Girls At (feat. Nicki Minaj & Flo Rida);72
Lykke Li;I Follow Rivers - The Magician Remix;51
Pitbull;Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);81
Selena Gomez & The Scene;Love You Like A Love Song;79
Wiz Khalifa;Black and Yellow;75
Katy Perry;E.T.;65
Britney Spears;I Wanna Go;66
Gym Class Heroes;Stereo Hearts (feat. Adam Levine);81
Edward Maya;Stereo Love - Radio Edit;66
Enrique Iglesias;Tonight (I'm Fuckin' You);63
Jeremih;Down On Me;72
Sak Noel;Loca People - Radio Edit;49
Olly Murs;Heart Skips a Beat (feat. Rizzle Kicks);61
LMFAO;Sexy And I Know It;67
Cobra Starship;You Make Me Feel... (feat. Sabi);70
Jessie J;Do It Like A Dude;57
DJ Fresh;Louder (feat. Sian Evans) - Radio Edit;55
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);76
Nickelback;When We Stand Together;65
M83;Midnight City;76
Britney Spears;Till the World Ends;65
Labrinth;Earthquake (feat. Tinie Tempah);62
Jason Derulo;Don't Wanna Go Home;63
Coldplay;Paradise;82
Katy Perry;Last Friday Night (T.G.I.F.);74
Adele;Set Fire to the Rain;2
Dr. Dre;I Need A Doctor;71
Lil Wayne;6 Foot 7 Foot;1
DJ Khaled;I'm On One;70
Chris Brown;Look At Me Now (feat. Lil' Wayne & Busta Rhymes);71
Far East Movement;Rocketeer;61
The Wanted;Glad You Came;77
Kesha;We R Who We R;71
Kelly Rowland;Motivation;65
Rihanna;We Found Love;75
Nicole Scherzinger;Don't Hold Your Breath;62
Mann;Buzzin Remix;48
Chris Brown;Yeah 3x;69
Swedish House Mafia;Save The World;65
Kanye West;All Of The Lights;76
Miguel;Sure Thing;78
Diddy - Dirty Money;Coming Home;69
Rihanna;What's My Name?;66
Chris Brown;Beautiful People;53
Avril Lavigne;What the Hell;74
Professor Green;Read All About It;39
Chase & Status;Blind Faith;60
Chip;Champion (feat. Chris Brown);48
Selena Gomez & The Scene;Who Says;76
Rizzle Kicks;Down With The Trumpets;59
Lady Gaga;Born This Way;72
Nicki Minaj;Super Bass;0
Mac Miller;Donald Trump;61
Calvin Harris;Bounce (feat. Kelis) - Radio Edit;62
David Guetta;Without You (feat. Usher);70
Foster The People;Pumped Up Kicks;82
Drake;Headlines;74
Jessie J;Price Tag;73
Jason Aldean;Dirt Road Anthem;53
Wiz Khalifa;Roll Up;63
OneRepublic;Good Life;72
Bad Meets Evil;Lighters;68
Bruno Mars;The Lazy Song;75
Lupe Fiasco;The Show Goes On;70
James Morrison;I Won't Let You Go;64
Jason Derulo;It Girl;70
Adele;Someone Like You;4
Red Hot Chili Peppers;The Adventures of Rain Dance Maggie;65
Keri Hilson;Pretty Girl Rock;67
P!nk;F**kin' Perfect;60
Blake Shelton;Honey Bee;50
Lady Gaga;The Edge Of Glory;67
Lady A;Just A Kiss;63
Hot Chelle Rae;Tonight Tonight;73
Grouplove;Tongue Tied;79
Coldplay;Every Teardrop Is a Waterfall;69
Beyoncé;Best Thing I Never Had;69
P!nk;Raise Your Glass;76
Christina Perri;Jar of Hearts;72
Bruno Mars;Marry You;75
The Band Perry;If I Die Young;64
Lil Wayne;How To Love;0
Charlene Soraia;Wherever You Will Go;60
Christina Perri;A Thousand Years;70
Rihanna;We Found Love;75
Carly Rae Jepsen;Call Me Maybe;78
fun.;We Are Young (feat. Janelle Monáe);76
Sean Paul;She Doesn't Mind;70
Pitbull;International Love (feat. Chris Brown);74
DEV;In The Dark;52
Adele;Skyfall;74
David Guetta;Turn Me On (feat. Nicki Minaj);65
Rihanna;Where Have You Been;71
JAY-Z;Ni**as In Paris;82
Maroon 5;One More Night;74
Skrillex;Bangarang (feat. Sirah);70
The Wanted;Chasing The Sun;69
Flo Rida;Whistle;77
will.i.am;This Is Love;62
David Guetta;She Wolf (Falling to Pieces) [feat. Sia];66
Nicki Minaj;Pound The Alarm;64
Kendrick Lamar;Swimming Pools (Drank) - Extended Version;63
MARINA;Primadonna;78
Kanye West;Mercy;73
DJ Fresh;Hot Right Now (feat. RITA ORA) - Radio Edit;58
LMFAO;Sexy And I Know It;67
PSY;Gangnam Style (강남스타일);72
Kesha;Die Young;78
Usher;Scream;66
Olly Murs;Troublemaker (feat. Flo Rida);0
Linkin Park;BURN IT DOWN;73
Bruno Mars;Locked out of Heaven;85
Avicii;Levels - Radio Edit;77
Flo Rida;Good Feeling;76
Rihanna;Diamonds;75
Wiz Khalifa;Work Hard, Play Hard;62
Katy Perry;Part Of Me;73
Nicki Minaj;Starships;75
Kendrick Lamar;m.A.A.d city;67
Asaf Avidan & the Mojos;One Day / Reckoning Song (Wankelmut Remix) [Radio Edit];0
Florence + The Machine;Spectrum (Say My Name) - Calvin Harris Remix;68
Azealia Banks;212;0
Maroon 5;Payphone;82
James Arthur;Impossible;75
Michel Teló;Ai Se Eu Te Pego - Live;0
Otto Knows;Million Voices - Radio Edit;0
Icona Pop;I Love It;51
Tyga;Rack City;61
Calvin Harris;Feel So Close - Radio Edit;79
Jennifer Lopez;Dance Again;0
Grimes;Oblivion;0
Adele;Rumour Has It;0
Coldplay;Paradise;82
Chris Brown;Turn Up the Music;64
Frank Ocean;Lost;64
Calvin Harris;Let's Go (feat. Ne-Yo);66
The Script;Hall of Fame (feat. will.i.am);78
Swedish House Mafia;Don't You Worry Child - Radio Edit;76
MARINA;How to Be a Heartbreaker;50
Justin Bieber;Boyfriend;63
David Guetta;Titanium (feat. Sia);79
Jessie J;Domino;74
Taylor Swift;I Knew You Were Trouble.;59
ScHoolboy Q;Hands on the Wheel (feat. Asap Rocky);61
P!nk;Try;76
Robbie Williams;Candy;68
Snoop Dogg;Young, Wild & Free (feat. Bruno Mars);77
Justin Bieber;As Long As You Love Me;67
Rita Ora;R.I.P. (feat. Tinie Tempah);46
Alex Clare;Too Close;60
Tyga;Faded;58
Alesso;Years - ラジオ・エディット;0
Guy Sebastian;Battle Scars (feat. Lupe Fiasco);0
Katy Perry;The One That Got Away;72
Avicii;Silhouettes - Original Radio Edit;53
Gotye;Somebody That I Used To Know;57
Flo Rida;Wild Ones (feat. Sia);77
One Direction;What Makes You Beautiful;82
Lana Del Rey;Born To Die;53
Kesha;C'Mon;0
Owl City;Good Time;77
Calvin Harris;We'll Be Coming Back (feat. Example);62
Emeli Sandé;Read All About It, Pt. III;65
Ellie Goulding;Lights - Single Version;63
Train;Drive By;77
Disclosure;Latch;74
Coldplay;Princess of China;66
One Direction;Live While We're Young;0
Gym Class Heroes;Ass Back Home (feat. Neon Hitch);61
Carrie Underwood;Blown Away;63
alt-J;Breezeblocks;71
Chris Brown;Don't Wake Me Up;62
Kelly Clarkson;Stronger (What Doesn't Kill You);74
Drake;The Motto;74
Katy Perry;Wide Awake;65
Rita Ora;How We Do (Party);48
Rudimental;Feel the Love (feat. John Newman);64
Lana Del Rey;Ride;66
Ne-Yo;Let Me Love You (Until You Learn To Love Yourself);69
Demi Lovato;Give Your Heart a Break;71
Drake;Take Care;75
Little Mix;Wings;0
Bruno Mars;It Will Rain;74
Cher Lloyd;Want U Back;67
Lorde;Royals;77
Robin Thicke;Blurred Lines;55
Imagine Dragons;Radioactive;77
Avicii;Wake Me Up;6
Bruno Mars;Locked out of Heaven;85
Macklemore & Ryan Lewis;Thrift Shop (feat. Wanz);1
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;83
will.i.am;Scream & Shout;78
Stromae;Papaoutai;0
Bingo Players;Get Up (Rattle) - Vocal Edit;1
Naughty Boy;La La La;58
Tom Odell;Another Love;88
2 Chainz;We Own It (Fast & Furious);69
David Guetta;Play Hard (feat. Ne-Yo & Akon);69
Pitbull;Feel This Moment (feat. Christina Aguilera);77
will.i.am;#thatPOWER;68
Lil Wayne;Love Me;68
Macklemore & Ryan Lewis;Can't Hold Us (feat. Ray Dalton);81
Martin Garrix;Animals - Radio Edit;0
Jason Derulo;Talk Dirty (feat. 2 Chainz);56
John Newman;Love Me Again;74
Britney Spears;Work B**ch;0
The Neighbourhood;Sweater Weather;89
Sebastian Ingrosso;Reload - Radio Edit;68
Capital Cities;Safe And Sound;0
Demi Lovato;Heart Attack;79
Arctic Monkeys;Why'd You Only Call Me When You're High?;84
Justin Bieber;Beauty And A Beat;73
Eminem;The Monster;75
Pitbull;Don't Stop the Party (feat. TJR);64
Selena Gomez;Come & Get It;69
P!nk;True Love (feat. Lily Allen);71
Disclosure;White Noise;54
Flo Rida;I Cry;60
Kanye West;Black Skinhead;0
Lana Del Rey;Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix;72
Eminem;Berzerk;66
Icona Pop;I Love It (feat. Charli XCX);68
Fall Out Boy;My Songs Know What You Did In The Dark (Light Em Up);71
Lorde;Team;0
Avicii;I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit;68
Imagine Dragons;Demons;81
One Direction;One Way or Another (Teenage Kicks);66
Taylor Swift;I Knew You Were Trouble.;76
Arctic Monkeys;Do I Wanna Know?;84
Rudimental;Waiting All Night (feat. Ella Eyre);66
Klangkarussell;Sonnentanz - Sun Don't Shine;68
Calvin Harris;Drinking from the Bottle (feat. Tinie Tempah);61
A$AP Rocky;F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar);76
P!nk;Try;76
Ylvis;The Fox (What Does the Fox Say?);63
Ellie Goulding;Burn;70
Baauer;Harlem Shake;57
Calvin Harris;I Need Your Love (feat. Ellie Goulding);70
Katy Perry;This Is How We Do;60
AWOLNATION;Sail;2
Duke Dumont;Need U (100%) [feat. A*M*E] - Radio Edit;27
Jason Derulo;The Other Side;50
Storm Queen;Look Right Through - MK Vocal Edit;0
Calvin Harris;Sweet Nothing (feat. Florence Welch);71
Katy Perry;Unconditionally;0
Wale;Bad (feat. Rihanna) - Remix;61
Ciara;Body Party;64
Drake;Started From the Bottom;65
Birdy;Wings;48
Bastille;Of The Night;61
Olly Murs;Dear Darlin';59
Katy Perry;Roar;73
Blake Shelton;Sure Be Cool If You Did;56
Calvin Harris;Thinking About You (feat. Ayah Marar);65
JAY-Z;Holy Grail;62
Bridgit Mendler;Ready or Not;72
The Saturdays;What About Us;61
Bastille;Pompeii;74
One Direction;Best Song Ever;76
Nelly;Hey Porsche;57
Zedd;Clarity;0
Miley Cyrus;Wrecking Ball;77
Chris Brown;Fine China;0
Daft Punk;Lose Yourself to Dance (feat. Pharrell Williams);69
Armin van Buuren;This Is What It Feels Like;66
Justin Timberlake;Mirrors;78
Bruno Mars;Treasure;78
Of Monsters and Men;Little Talks;79
Miley Cyrus;We Can't Stop;78
J. Cole;Power Trip (feat. Miguel);0
Paramore;Still into You;79
Christina Perri;human;59
Drake;Hold On, We're Going Home;72
James Blunt;Bonfire Heart;0
Maroon 5;Daylight;66
Childish Gambino;3005;0
Avril Lavigne;Here's to Never Growing Up;0
Taylor Swift;22;68
Passenger;Let Her Go;73
Ariana Grande;The Way;65
Rihanna;Stay;76
Justin Timberlake;Suit & Tie (feat. Jay-Z);67
Bruno Mars;When I Was Your Man;83
Florida Georgia Line;Cruise;57
Pharrell Williams;"Happy - From ""Despicable Me 2""";79
Katy Perry;Dark Horse;74
ScHoolboy Q;Collard Greens;0
Iggy Azalea;Fancy;69
Maroon 5;Animals;79
Sam Smith;Stay With Me;80
MAGIC!;Rude;80
Sia;Chandelier;78
John Legend;All of Me;84
ZHU;Faded;49
Meghan Trainor;All About That Bass;72
David Guetta;Lovers on the Sun (feat. Sam Martin);50
Iggy Azalea;Black Widow;67
Tove Lo;Habits (Stay High);74
Oliver Heldens;Gecko (Overdrive) - Radio Edit;67
DJ Snake;You Know You Like It;69
Jason Derulo;Talk Dirty (feat. 2 Chainz);56
Maroon 5;Maps;0
David Guetta;Bad (feat. Vassy) - Radio Edit;45
Tinashe;2 On (feat. ScHoolboy Q);71
Route 94;My Love (feat. Jess Glynne);72
Taylor Swift;Bad Blood;54
Trey Songz;Na Na;62
Calvin Harris;Under Control (feat. Hurts);72
O.T. Genasis;CoCo;61
Jason Derulo;Wiggle (feat. Snoop Dogg);66
Lilly Wood and The Prick;Prayer in C - Robin Schulz Radio Edit;66
Jeremih;Don't Tell 'Em;74
Nicki Minaj;Anaconda;66
Calvin Harris;Blame (feat. John Newman);75
DJ Snake;Turn Down for What;70
Pitbull;Timber (feat. Ke$ha);80
OneRepublic;Counting Stars;62
Bobby Shmurda;Hot N*gga;73
Calvin Harris;Summer;21
ScHoolboy Q;Man Of The Year;0
Nico & Vinz;Am I Wrong;76
Becky G;Shower;78
Sigma;Nobody To Love - Radio Edit;62
The Chainsmokers;#SELFIE - Original Mix;0
Lorde;Team;76
Rixton;Me And My Broken Heart;77
Klingande;Jubel - Radio Edit;50
Mr. Probz;Waves - Robin Schulz Radio Edit;2
Paloma Faith;Only Love Can Hurt Like This;80
Kiesza;Hideaway;64
Ellie Goulding;Burn;70
Ariana Grande;Break Free;0
Kid Ink;Show Me (feat. Chris Brown);68
Tove Lo;Talking Body;66
Chris Brown;Loyal (feat. Lil Wayne & Tyga);72
OneRepublic;Love Runs Out;59
Olly Murs;Up (feat. Demi Lovato);0
Peking Duk;High (feat. Nicole Millar);48
Milky Chance;Stolen Dance;73
Ed Sheeran;Don't;72
Ariana Grande;Love Me Harder;74
Enrique Iglesias;Bailando - Spanish Version;66
Avicii;Hey Brother;2
Jessie J;Bang Bang;77
Duke Dumont;I Got U;67
